claim_id,paper_location,statement,paper_value,recomputed_value,experiment_ids,aggregation_and_script,verdict,action_or_note
C01,Abstract; Intro; Results 2 intro; Methods,"twelve surrogates (9 TL + 3 GP), thirteen benchmarks, forty seeds (42-81)",12 / 13 / 40,"12 display models x 13 pools x 40 seeds in every Fig. 1 cell except SV-MFGP Branin-Fav 36, Branin-Unfav 39",E01-E08,cell counts (verify/verify_out_20260914/report.md section 11),verified,
C02,Abstract; Results 2.6; Discussion; Fig. 1a,up to 43-fold fewer FLOPs (sparse variational MFGP vs fastest TL),43x,"43.1x (FreeSolv, Sparse MFGP 5.045 TFLOPs vs Progressive 0.117)",E11,plot_computing_flops_blr.py loop reconstruction; recomputed in verify section 8,verified,
C03,Abstract; Results 2.2; Discussion,GP best on the smooth low-d Branin functions; on every chem/materials pool best TL >= best GP,GP on Branin; TL >= GP on 9/9,"Branin-Fav GP +0.226, Branin-Unfav GP +0.398 (attainment); chem pools: 7 TL > 0.01, 2 within 0.01 (COFs +0.011 rounds to 0.01)",E01-E08,attainment best-of-family (verify section 2),verified (rounding),COFs difference 0.011 is reported as a tie at two decimals
C04,Abstract; Results 2.3; Discussion,grid advantage tracks top-10 agreement more than global R^2,rho -0.79 vs -0.15,"rho(agreement) -0.79, rho(R^2) -0.15 (TL vs MFGP, 126 cells)","E09, E10",make_fig1ln_final.py; recomputed verify section 5,verified,
C05,Abstract; Results 2.4,matched-acquisition experiments attribute the advantage primarily to the surrogate,MFGP greedy ~ MFGP EI,"paired |delta| <= 0.022 on 8/9 pools, HOPV15 greedy 0.234 vs EI 0.317","E02, E04, E13, E01, E03, E12, E14",supp_attain.py S1; recomputed verify section 9,verified,
C06,Results 2.1,Branin-Fav: DKL and MFGP 0.91 vs best TL (E2E) 0.68,0.91 / 0.68,"exact re-aggregation: DKL 0.913, MFGP 0.912, E2E 0.688 (pipeline value with 6-digit rounding: 0.685)",E01-E04,"fig1_attainment.py on explorer_data.json (exact export, figcand2_20260914_exact)",mismatch -> fixed,text redlined 0.68 -> 0.69; Fig. 1 b re-rendered (reproducibility/values/figcand2_20260914_exact)
C07,Results 2.1,Branin-Unfav: MFGP 0.75 vs E2E 0.35,0.75 / 0.35,"exact: MFGP 0.756, E2E 0.358 (rounded pipeline: 0.753 / 0.352)",E01-E04,as C06,mismatch -> fixed,"text redlined 0.75 -> 0.76, 0.35 -> 0.36"
C08,Results 2.1,MFGP and DKL curves lie below every TL curve throughout the run (Branin),throughout,"MFGP below all TL on 100 % (Fav) / 96 % (Unfav) of budget grid points, DKL 96 % / 96 %",E01-E04,verify section 3 mean curves,mismatch -> fixed,"wording redlined to ""over almost the whole run"""
C09,Results 2.1,"Park-Fav: Prog/SPS/PtJ 0.94-0.95 vs DKL 0.85, MFGP last 0.62",0.94-0.95 / 0.85 / 0.62,0.946 / 0.941 / 0.939; DKL 0.854; MFGP 0.615 (lowest),E01-E04,verify section 2,verified,
C10,Results 2.1,Park-Unfav: SPS 0.87 vs SV-MFGP 0.89,0.87 / 0.89,0.868 / 0.888,E01-E04,verify section 2,verified,
C11,Results 2.2,"COFs, FreeSolv, Polarizability: every surrogate 0.84-0.96, best TL and best GP within 0.01",0.84-0.96; <= 0.01,"range 0.844-0.963; COFs 0.934 vs 0.923 (0.011), FreeSolv 0.938 vs 0.938, Polarizability 0.963 vs 0.954",E01-E06,verify section 2,verified (rounding),COFs 0.011 -> 0.01 at two decimals
C12,Results 2.2,HOPV15: FET and Seq 0.40 vs MFGP 0.32; SV-MFGP 0.08,0.40 / 0.32 / 0.08,"FET 0.405, Seq 0.400, MFGP 0.317, SV-MFGP 0.080","E05, E06",verify section 2,verified,cells come from the extension runs (horizon 45) read at 30
C13,Results 2.2,Matbench-gap: every TL 0.36-0.46 above every GP 0.25-0.32; Adapter 0.46 vs SV-MFGP 0.32,0.36-0.46 / 0.25-0.32,"TL 0.363-0.462; GP 0.245-0.322; Adapter 0.462, SV-MFGP 0.322",E07,verify section 2,verified,cells from the 40 -> 100 continuation read at 30
C14,Results 2.2; Fig. 1 k,ExptGap-PBE: SPS 0.41 vs SV-MFGP 0.34,0.41 / 0.34,0.410 / 0.337,E08,verify section 2,verified,
C15,Results 2.2; Fig. 1 l-n,"elastic ladder: 0.62 vs 0.60 (SGJ vs DKL), 0.75 vs 0.72 (MMD vs SV-MFGP), 0.88 vs 0.86 (Adpt vs SV-MFGP); attainment rises with LF agreement",as stated,"0.622/0.604, 0.754/0.725, 0.881/0.863; both families rise along CHGNet -> SevenNet -> MatterSim",E08,verify section 2,verified,
C16,Results 2.2,"nine chem/materials pools: three ties, six wins",3 ties / 6 wins,"differences: COFs +0.011, FreeSolv 0.000, Polarizability +0.009 (ties at two decimals); HOPV15 +0.087, Matbench +0.141, ExptGap +0.072, CHGNet +0.018, SevenNet +0.030, MatterSim +0.017",E01-E08,verify section 2,verified (rounding),
C17,Results 2.2; Fig. 1 p,normalised score summary places all nine TL above the three GPs (chem/materials),9/9,9/9 (min TL 0.597 Prog > max GP 0.520 DKL),E01-E08,fig1_attainment.py SUMMARY=score; verify section 2,verified,
