item,state_in_public_main_5c80420,action,source,note
data/*.csv (9 original pools),"present, identical (md5)",keep,-,
"data/expt_gap_pbe.csv, elastic_{chgnet,sevennet,mattersim}_shear.csv",absent,add,reproducibility/snapshot/data/ (8.0 MB),Data availability names them
"benchmarks/expt_gap_pbe.py, elastic_modulus.py (+ their matminer/matcalc dependencies)",absent,add,reproducibility/snapshot/benchmarks/,build scripts of the four new pools; matcalc/MLIP steps documented in the scripts
src/benchmark.py,present (89909081) = previous pipeline,add refig copy alongside,reproducibility/snapshot/refig_20260908/benchmark.py (24fb817e; differs from src only by the ACT env switch),the paper runs import experiments/refig_20260908/benchmark.py
"src/baselines.py, src/synthetic_functions.py","present, identical",keep,-,
"experiments/refig_20260908/{run_tl.py, run_gp.py, run_tl_conf.py, run_gp_conf.py, pools.py, _shared_calibration.py, collect.py, export_explorer.py, prep_candidates2.py, fig1_attainment.py, fig2_trajectories.py, supp_attain.py, run_flop_profile_blr.py, make_all.sh, final_pipeline.sh, b30_pipeline.sh, b30_patch.py, style_patch_20260914.py, task lists, sbatch/driver scripts}",absent,add,/mnt/data/jaewook_mfbo/MFBO-TL-Paper/experiments/refig_20260908 (scripts) ; reproducibility/snapshot/refig_20260908 (subset),the runners and the figure pipeline behind every current figure
experiments/refig_20260908/figcand2_20260914_exact/scripts/*,absent,add,reproducibility/snapshot/refig_20260908/figcand2_20260914_exact_scripts,exact-precision exporter used for the final Fig. 1 / Fig. 4
"experiments/ext_chem_20260909/{run_tl.py, run_gp.py, pools.py, ext_env.sh, submit_confirm_ext.sbatch, vm_*.sh, tasks_*.txt, analyze_ext.py}",absent,add,reproducibility/snapshot/ext_chem_20260909 (subset),extension runs and the four large pools
"figures/{make_fig1ln_final.py, make_a1_calibration_13_attain.py, make_b2_topk_13.py, make_scaling_law_blr.py, plot_computing_flops_blr.py, _common.py (refig version), make_flops_blr.sh}",absent (old figures/*.py present),add; mark old scripts superseded,reproducibility/snapshot/refig_20260908/figrepo/figures,
"results/ (raw cells of E01-E09, E11-E14)",absent; the present results/* are the previous run set,add ~700 MB (or the collected CSVs + explorer_data.json + value CSVs as a minimum),"/mnt/data/jaewook_mfbo/MFBO-TL-Paper/experiments/refig_20260908/{results,results_gp,results_gp_vm,results_gp_vm2,results_conf,results_gp_conf,results_slurm,results_grid} (~400 MB); /mnt/data/jaewook_mfbo/MFBO-TL-Paper/experiments/ext_chem_20260909/{results,results_ext100,results_confirm_ext} (~330 MB); figrepo/results (48 MB)",results/grid (public) is reused unchanged; the previous results must be labelled as superseded or removed
results/flop_profile_blr/flop_profile.csv,absent,add,reproducibility/values/figrepo_out/flop_profile.csv,
value files behind every figure,absent,add,reproducibility/values/,
"paper/ (main.tex, si.tex, si-content.tex, build.sh, references.bib, *.bbl, paper_figures/)",present = 2026-08-21 preprint state (plain article class),replace,this repository (Jaewook-MFBO-TL-Paper),the public paper/ folder is two revisions behind
"README.md, PROVENANCE.md, docs/ROOT_CAUSE_INVESTIGATION.md","present, describe the previous pipeline (constant-std EI, joint masking)",rewrite / label superseded,draft text in REPRODUCIBILITY_RECONCILIATION.md section 9,reading them as current would misdescribe the paper
"LICENSE, CITATION.cff",absent,add,repo_patch/ in this repository (untracked),
Zenodo DOI,none,mint after the release,-,
local clone MFBO-TL-public (cephfs),"main 5c80420 + uncommitted 2026-09-02 patch (9 modified, 11 untracked, 134 staged deletions of results/traj_cells)",do not push as is; reconcile with the snapshot above,../MFBO-TL-public,the staged deletions were never intended for publication
